source_number,academic_unit,transition_2026,source_note
1,대순종학과,표준화 자격요건 바로 적용,
2,영어영문학과,표준화 자격요건 바로 적용,
3,역사∙문화콘텐츠학과,표준화 자격요건 바로 적용,
4,문예콘텐츠창작학과,표준화 자격요건 바로 적용,
5,현대미술전공,표준화 자격요건 바로 적용,
6,만화게임그래픽전공,표준화 자격요건 바로 적용,
7,시각디자인학과,표준화 자격요건 바로 적용,
8,산업디자인학과,표준화 자격요건 바로 적용,
9,영화영상학과,표준화 자격요건 바로 적용,
10,연기예술학과,표준화 자격요건 바로 적용,
11,실용음악학과,표준화 자격요건 바로 적용,
12,한국어문학과,표준화 자격요건 바로 적용,
13,글로벌경제학과,표준화 자격요건 바로 적용,
14,경영학과,표준화 자격요건 바로 적용,
15,국제통상학과,기존·표준화 자격요건 모두 적용,
16,국제지역학전공,표준화 자격요건 바로 적용,
17,중국학전공,표준화 자격요건 바로 적용,
18,미국학전공,표준화 자격요건 바로 적용,
19,공공인재법학과,표준화 자격요건 바로 적용,
20,행정정보학과,표준화 자격요건 바로 적용,
21,사회복지학과,표준화 자격요건 바로 적용,
22,아동학과,기존·표준화 자격요건 모두 적용,
23,미디어커뮤니케이션학과,표준화 자격요건 바로 적용,
24,문헌정보학과,표준화 자격요건 바로 적용,
25,의생명과학과,표준화 자격요건 바로 적용,
26,간호학과,표준화 자격요건 바로 적용,
27,스포츠건강과학과,표준화 자격요건 바로 적용,
28,식품영양학과,표준화 자격요건 바로 적용,
29,보건경영학과,표준화 자격요건 바로 적용,
30,수학과,표준화 자격요건 바로 적용,
31,데이터사이언스학과,표준화 자격요건 바로 적용,
32,에코응용화학전공,표준화 자격요건 바로 적용,
33,스마트모빌리티전공,표준화 자격요건 바로 적용,
34,컴퓨터공학전공,표준화 자격요건 바로 적용,
35,AI빅데이터전공,표준화 자격요건 바로 적용,
36,스마트융합보안학과,표준화 자격요건 바로 적용,
37,의료IT융합전공,기존 자격요건 유지,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,
39,전기공학전공,기존 자격요건 유지,
40,화학공학전공,표준화 자격요건 바로 적용,
41,건축공학과,표준화 자격요건 바로 적용,
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,
43,IT기계공학과,표준화 자격요건 바로 적용,
44,전자공학과,표준화 자격요건 바로 적용,
45,신소재공학과,표준화 자격요건 바로 적용,
46,건축학전공,표준화 자격요건 바로 적용,
47,스마트시티전공,표준화 자격요건 바로 적용,
48,토목공학전공,표준화 자격요건 바로 적용,
49,환경에너지공학전공,표준화 자격요건 바로 적용,
50,도시부동산공학과,표준화 자격요건 바로 적용,
51,스마트건설환경공학과,표준화 자격요건 바로 적용,학과 통합(신설)
52,반도체융합공학과,표준화 자격요건 바로 적용,학과 통합(신설)
53,휴먼케어평생교육학과(야),표준화 자격요건 바로 적용,
54,사회복지상담학과(야),표준화 자격요건 바로 적용,
55,드론산업학과(야),표준화 자격요건 바로 적용,신설
56,자율전공학부(자기설계전공),표준화 자격요건 바로 적용,"신설(자기설계전공), 복수전공포함"
57,한국학과,표준화 자격요건 바로 적용,
58,국제경영학과,표준화 자격요건 바로 적용,
59,캐릭터∙아트상품융합전공,표준화 자격요건 바로 적용,
60,k-문화콘텐츠융합전공,표준화 자격요건 바로 적용,
61,게임·콘텐츠융합전공,표준화 자격요건 바로 적용,
62,지식재산창업융합전공,표준화 자격요건 바로 적용,
63,전기차핵심기술융합전공,표준화 자격요건 바로 적용,
64,스마트시티융합전공,표준화 자격요건 바로 적용,
65,통일한국인재전공,표준화 자격요건 바로 적용,
66,국방드론융합전공,표준화 자격요건 바로 적용,신설
